image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_hori_4_mean,cross_hori_4_max,cross_hori_5_mean,cross_hori_5_max,cross_hori_6_mean,cross_hori_6_max,cross_hori_7_mean,cross_hori_7_max,cross_hori_8_mean,cross_hori_8_max,cross_hori_9_mean,cross_hori_9_max,cross_hori_10_mean,cross_hori_10_max,cross_hori_11_mean,cross_hori_11_max,cross_hori_12_mean,cross_hori_12_max,cross_hori_13_mean,cross_hori_13_max,cross_hori_14_mean,cross_hori_14_max,cross_hori_15_mean,cross_hori_15_max,cross_hori_16_mean,cross_hori_16_max,cross_hori_17_mean,cross_hori_17_max,cross_hori_18_mean,cross_hori_18_max,cross_hori_19_mean,cross_hori_19_max,cross_hori_20_mean,cross_hori_20_max,cross_hori_21_mean,cross_hori_21_max,cross_hori_22_mean,cross_hori_22_max,cross_hori_23_mean,cross_hori_23_max,cross_hori_24_mean,cross_hori_24_max,cross_hori_25_mean,cross_hori_25_max,cross_hori_26_mean,cross_hori_26_max,cross_hori_27_mean,cross_hori_27_max,cross_hori_28_mean,cross_hori_28_max,cross_hori_29_mean,cross_hori_29_max,cross_vert_mean,cross_vert_max,convexhull,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9,coord_x10,coord_x11,coord_x12,coord_x13,coord_x14,coord_x15,coord_x16,coord_x17,coord_x18,coord_x19,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,cumul_x0,cumul_x1,cumul_x2,cumul_x3,cumul_x4,cumul_x5,cumul_x6,cumul_x7,cumul_x8,cumul_x9
101A-LOTOFA.tif,0.13559322,0.032236766,0.008474576,98.118645,679.1525,9.805085,24.618645,0.39827883,0.56289566,0.22682601,2.0662591,5.762079,9.993486,14.288981,7.942513,7.927377,8.29587,8.388034,29.869085,315.0,0.36462092,8.0,1.0902528,14.0,2.631769,30.0,5.0144405,32.0,6.198556,32.0,8.075812,39.0,9.397112,39.0,11.151625,39.0,11.216606,39.0,10.960289,39.0,10.830325,39.0,9.5595665,34.0,8.516246,34.0,6.462094,34.0,5.292419,23.0,4.090253,17.0,3.3935018,12.0,2.6209385,12.0,1.9458483,12.0,1.3754512,12.0,0.55595666,8.0,0.11913358,4.0,0.018050542,4.0,0.018050542,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.717241,30.0,8279733.0,0.4105445,0.23509075,0.37424374,0.38115817,0.29991356,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.76577353,0.53932583,0.90492654,0.8936906,0.4278306,0.017286085,0.65859985,0.5306828,0.15816768,0.46585998,1.0,1.0,1.0,1.0,1.0,0.017286085,0.6758859,1.2065687,1.3647364,1.8305964,2.8305964,3.8305964,4.8305964,5.8305964,6.8305964
101A-SAMBA.tif,0.16101696,0.03758579,0.033898305,65.9661,573.6017,7.161017,18.957626,0.37773803,0.50646335,0.4853383,1.2315432,3.8656719,6.6369357,9.257383,5.487538,5.25564,5.4474254,5.3023863,43.07625,190.0,0.24590164,7.0,0.6502732,13.0,0.9836066,13.0,1.3387978,13.0,1.6666666,13.0,1.6120218,13.0,1.7213115,10.0,2.863388,20.0,3.7704918,20.0,5.344262,21.0,6.15847,21.0,6.79235,21.0,7.874317,26.0,7.5628414,26.0,6.125683,26.0,5.0546446,26.0,3.9453552,26.0,1.4808743,19.0,1.7978142,53.0,2.612022,53.0,3.3934426,53.0,3.918033,53.0,4.327869,53.0,3.612022,24.0,3.021858,13.0,2.9890711,16.0,2.8251367,16.0,2.590164,16.0,2.5519125,16.0,2.5300546,16.0,NaN,0.0,8279733.0,0.56094676,0.50177515,0.46153846,0.34319526,0.17278107,0.0,0.12071006,0.37869823,0.7076923,0.8295858,0.91952664,0.7585799,0.5751479,0.8568047,1.0,0.24970414,0.88757396,0.5029586,0.52662724,0.5810651,0.020118343,0.024852071,0.041420117,0.5443787,0.07692308,1.0,0.73609465,0.1964497,0.050887574,0.08994083,0.020118343,0.044970416,0.08639053,0.63076925,0.7076923,1.7076924,2.443787,2.6402369,2.6911244,2.7810652
101B-LOTOFA.tif,0.34745762,0.06744059,0.008474576,266.68643,2923.9915,13.644068,28.423729,0.48002386,0.4712906,0.42206234,0.695352,2.0341446,3.5045054,5.152563,2.9515812,2.8716404,2.7872713,2.9242067,48.500557,648.0,2.75,10.0,3.703125,11.0,26.65625,88.0,23.4375,82.0,4.375,28.0,3.40625,19.0,8.453125,25.0,11.578125,31.0,8.46875,27.0,14.609375,42.0,17.046875,35.0,15.515625,35.0,15.0,31.0,20.515625,58.0,20.1875,51.0,13.75,31.0,24.09375,67.0,8.078125,30.0,3.765625,10.0,7.296875,17.0,6.078125,23.0,10.171875,29.0,9.71875,21.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.00881,116.0,8279733.0,0.19130434,0.17515528,0.094409935,0.06273292,0.10372671,6.21118E-4,0.67391306,0.9322981,0.0,0.0,1.0,1.0,0.98819876,0.80248445,0.61366457,0.6223602,0.55962735,0.1515528,0.6267081,0.20124224,0.009937888,0.4515528,0.057142857,0.49689442,0.51863354,0.6130435,0.12857144,0.055900622,1.0,1.0,0.009937888,0.4614907,0.51863354,1.015528,1.5341616,2.147205,2.2757766,2.3316772,3.3316772,4.3316774
101B-SAMBA.tif,0.1440678,0.038729936,0.016949153,101.805084,853.4661,7.8050847,14.144068,0.55182743,0.48942304,0.49208874,0.72929925,2.1956925,3.2824674,4.856587,2.8703096,2.9080718,2.7618883,2.7814496,40.984554,281.0,1.5202702,40.0,1.945946,31.0,2.8851352,40.0,4.135135,31.0,5.5878377,40.0,5.2702703,22.0,5.641892,35.0,5.939189,34.0,5.6621623,28.0,5.25,34.0,5.189189,28.0,5.8716216,34.0,6.2027025,18.0,6.310811,19.0,6.5945945,17.0,8.317568,99.0,7.533784,57.0,10.385135,99.0,10.587838,57.0,12.966216,99.0,13.736486,57.0,13.9527025,57.0,13.310811,88.0,10.243243,51.0,9.013514,88.0,6.3445945,51.0,4.006757,41.0,4.4797297,34.0,4.689189,23.0,4.5202703,33.0,NaN,0.0,8279733.0,0.422367,0.8132465,0.15526602,0.09337676,0.105320305,0.06948969,0.105320305,0.21606949,0.28555918,0.34093377,0.37024972,0.57546145,0.24321389,0.8838219,0.71769816,0.69923997,0.7709012,0.78827363,0.927253,0.60152006,0.1791531,0.11400651,0.6330076,0.67752445,0.59391963,0.64820844,0.77850163,0.027144408,0.28990227,0.029315962,0.1791531,0.2931596,0.9261672,1.6036916,2.1976113,2.8458197,3.6243215,3.651466,3.941368,3.970684
101C-LOTOFA.tif,0.15254237,0.036145978,0.008474576,141.51695,1040.644,11.271187,25.813559,0.4366382,0.5682612,0.42758998,1.5244389,4.629581,7.5930977,11.166626,6.4449005,6.200666,6.4623113,6.410103,55.729057,361.0,0.5981308,12.0,1.9018692,22.0,2.5093458,14.0,4.046729,22.0,4.7523365,18.0,5.2943926,18.0,6.4392524,26.0,7.5700936,29.0,7.17757,26.0,9.995327,80.0,10.7663555,44.0,10.275701,80.0,10.28972,44.0,8.294393,61.0,5.308411,29.0,5.042056,48.0,4.093458,22.0,3.3925233,17.0,2.6682243,22.0,2.1542056,17.0,5.845794,81.0,7.233645,63.0,8.154205,81.0,8.046729,63.0,4.4345794,48.0,4.191589,35.0,3.9439251,37.0,3.864486,35.0,3.640187,37.0,1.8084112,29.0,16.517006,47.0,8279733.0,0.49473685,0.59849626,0.28796992,0.24962406,0.7195489,0.6263158,0.39849624,0.9699248,0.0,0.0,1.0,1.0,0.9744361,0.437594,0.65789473,0.7541353,0.82481205,0.8233083,0.6443609,0.49699247,0.002255639,0.04586466,0.53533834,0.575188,0.034586467,0.031578947,0.039097745,0.004511278,1.0,1.0,0.002255639,0.048120297,0.58345866,1.1586466,1.193233,1.2248119,1.2639097,1.2684209,2.268421,3.268421
101C-SAMBA.tif,0.1440678,0.028607054,0.016949153,132.36441,865.94916,9.745763,23.677965,0.41159627,0.496776,0.3950055,1.5087589,4.463056,7.367364,10.588782,5.9480634,6.1262355,6.0936856,6.070991,42.445568,402.0,1.9745762,57.0,2.9025424,63.0,3.2542372,57.0,4.173729,63.0,4.6228814,57.0,3.8644068,22.0,3.5974576,22.0,3.5677967,26.0,4.012712,33.0,4.9322033,26.0,4.423729,33.0,5.2415257,26.0,6.2076273,33.0,6.0974574,34.0,5.995763,28.0,6.868644,35.0,6.3177967,28.0,7.245763,35.0,6.8898306,28.0,7.6864405,35.0,7.720339,38.0,9.733051,36.0,9.461864,42.0,8.68644,39.0,7.118644,42.0,5.644068,39.0,4.144068,38.0,3.220339,29.0,3.411017,34.0,3.292373,29.0,11.277372,30.0,8279733.0,0.33391306,0.050434783,0.56,0.14086956,0.026956521,0.2669565,0.35913044,0.6617391,0.41826087,0.7626087,0.7678261,0.81391305,0.6695652,0.653913,0.65304345,0.22086957,0.66,0.5713043,0.71565217,0.7921739,0.45826086,0.6652174,0.011304348,0.5191304,0.19391304,0.38608697,0.2947826,0.007826087,0.39565217,0.0052173915,0.45826086,1.1234783,1.1347827,1.653913,1.847826,2.233913,2.5286956,2.5365217,2.9321737,2.937391
119A-FROMAGER.tif,0.23728813,0.06308321,0.008474576,227.3983,3040.5085,14.533898,27.728813,0.52414423,0.45276228,0.49190637,0.67370814,2.032934,3.553643,5.0473046,2.997093,2.9071324,2.851547,2.8552957,42.33359,500.0,0.64,4.0,2.71,15.0,6.02,33.0,8.41,43.0,8.62,32.0,8.46,47.0,10.59,25.0,12.23,23.0,9.11,26.0,9.6,64.0,7.58,63.0,3.53,28.0,9.31,41.0,11.38,37.0,8.83,25.0,10.7,32.0,11.01,27.0,9.23,40.0,8.66,21.0,9.86,36.0,8.7,20.0,9.97,28.0,14.61,52.0,15.2,40.0,8.11,30.0,1.86,28.0,3.11,22.0,7.29,33.0,8.03,33.0,3.03,17.0,19.610739,82.0,8279733.0,0.60408163,0.39650145,0.112536445,0.34752187,0.12886298,0.111370265,0.0606414,0.23906706,0.28629738,0.3889213,0.39766765,0.5860058,0.8816326,0.86938775,0.6804665,0.38309038,0.683965,0.6466472,0.5988338,0.6139942,0.0099125365,0.20233236,0.5341108,0.33644316,0.2542274,0.5690962,0.80874634,0.6425656,0.29970846,0.008746356,0.0099125365,0.2122449,0.74635565,1.0827988,1.3370262,1.9061224,2.7148688,3.3574343,3.6571426,3.665889
119B-FROMAGER.tif,0.20338982,0.0515478,0.033898305,189.50847,2221.89,12.338983,26.90678,0.45858267,0.54796904,0.4572992,0.79397213,2.30986,4.1555934,5.6523685,3.2869675,3.3679566,3.2365294,3.3594742,35.833103,306.0,2.0,10.0,4.8690476,21.0,6.178571,23.0,11.666667,58.0,13.047619,37.0,9.821428,44.0,4.5595236,16.0,3.2738094,12.0,6.095238,28.0,5.821429,31.0,4.428571,20.0,5.571429,25.0,12.630953,38.0,14.202381,36.0,13.976191,62.0,10.797619,31.0,8.678572,19.0,5.2380953,19.0,3.6785715,14.0,5.178571,18.0,4.6904764,12.0,6.9880953,31.0,6.7619047,22.0,6.7738094,26.0,5.928571,23.0,9.678572,29.0,9.904762,28.0,4.357143,22.0,1.9880953,15.0,1.0,1.0,15.529002,121.0,8279733.0,0.2815934,0.42445055,0.41002747,0.13667582,0.039835166,0.07623626,0.28983516,0.22596154,0.3708791,0.75549453,0.7589286,0.85233516,0.8949176,0.85714287,0.9629121,0.8667582,0.39697802,0.5281593,0.97046703,0.40041208,0.11881868,0.54601645,0.11813187,0.2603022,0.8269231,0.88667583,0.5673077,0.66895604,0.48145604,0.003434066,0.11881868,0.66483516,0.78296703,1.0432692,1.8701923,2.7568681,3.3241758,3.9931319,4.474588,4.478022
119C-FROMAGER.tif,0.26271185,0.06390012,0.06779661,152.15254,2003.856,11.822034,17.33051,0.6821516,0.5169545,0.55936944,0.5935675,1.6072276,2.5727305,3.744945,2.3216257,2.192121,2.2000043,2.1592438,64.109695,303.0,0.3114754,6.0,0.49726775,6.0,1.0327868,14.0,1.4043716,14.0,3.1912568,52.0,4.612022,52.0,6.114754,55.0,7.0,55.0,8.234973,55.0,8.863388,55.0,10.278688,55.0,9.382514,53.0,9.644809,53.0,9.912568,53.0,9.825136,53.0,9.038251,36.0,9.327868,36.0,9.737705,36.0,8.754098,36.0,9.852459,75.0,9.650273,75.0,10.551912,75.0,11.398907,75.0,12.092896,75.0,11.737705,40.0,11.579235,40.0,12.081967,40.0,11.377049,56.0,10.732241,56.0,9.234973,56.0,11.937685,77.0,8279733.0,0.7383512,0.7777778,0.31326166,0.3362007,0.33405018,0.3971326,0.40931898,0.10035843,0.24946237,0.49749103,0.50896055,0.4752688,0.59569895,0.7111111,0.8924731,0.96200716,0.91971326,0.8157706,0.7921147,0.7734767,0.03512545,0.014336918,0.50250894,0.58351254,0.627957,0.4953405,0.30179211,0.4953405,0.22580644,0.011469534,0.03512545,0.049462367,0.5519713,1.1354839,1.7634408,2.2587814,2.5605736,3.0559142,3.2817206,3.2931902
127A-LOTOFA.tif,0.29661018,0.08169963,0.076271184,96.28814,1550.7881,9.661017,26.40678,0.36585367,0.54123235,0.46732393,0.9395059,2.509473,4.3471828,6.4625316,3.7585974,3.6462815,3.5660052,3.618417,6.343709,196.0,1.2166667,9.0,2.5722222,15.0,3.3555555,16.0,3.2,14.0,2.4166667,16.0,1.6777778,11.0,2.0944445,11.0,2.4833333,15.0,3.05,13.0,3.5944445,17.0,4.077778,13.0,5.2388887,21.0,6.2444444,30.0,6.1277776,42.0,6.0944443,34.0,5.1444445,38.0,5.2833333,34.0,4.983333,34.0,5.266667,34.0,5.4444447,29.0,6.35,30.0,5.6277776,29.0,5.2222223,30.0,3.6944444,23.0,2.9444444,20.0,2.7944446,23.0,1.9388889,10.0,0.9111111,14.0,0.6611111,9.0,0.3,14.0,17.663044,82.0,8279733.0,0.34473684,0.3263158,0.26491228,0.19561404,0.19210526,0.27894738,0.3254386,0.39210525,0.41929823,0.0,1.0,0.44561404,0.8552632,0.9289474,0.6403509,0.6280702,0.6342105,0.69561404,0.37280703,0.6535088,0.30877194,0.046491228,0.43070176,0.4385965,0.4359649,0.3614035,0.6035088,0.4631579,0.02631579,1.0,0.30877194,0.35526317,0.78596497,1.2245615,1.6605264,2.02193,2.6254387,3.0885966,3.1149123,4.114912
127B-LOTOFA.tif,0.22881356,0.054800782,0.008474576,123.169495,1190.1356,7.8644066,25.288136,0.31099194,0.42955977,0.3843725,0.79669744,2.5654461,4.5646486,6.595524,3.6418796,3.7247999,3.7215672,3.695947,57.297806,291.0,0.4439834,8.0,1.033195,9.0,3.1618257,35.0,6.0290456,40.0,8.887967,47.0,10.095436,57.0,11.008299,51.0,9.311203,57.0,7.0954356,51.0,5.099585,57.0,4.5684648,70.0,4.058091,30.0,4.6763487,70.0,5.8879666,38.0,6.941909,42.0,7.618257,38.0,6.4315352,42.0,6.0165977,38.0,4.232365,42.0,3.2282157,27.0,4.3112035,25.0,6.60166,49.0,6.618257,53.0,6.099585,49.0,4.60166,53.0,2.4564316,49.0,0.35684648,5.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,8279733.0,0.87068963,0.38254312,0.19396552,0.26185346,0.22198276,0.0,0.16056034,0.0,0.0,0.0,1.0,1.0,1.0,0.85883623,1.0,0.33512932,0.32112068,0.28771552,0.7564655,0.8814655,0.010775862,0.3739224,0.09375,0.05926724,0.11314655,1.0,0.69827586,1.0,1.0,1.0,0.010775862,0.38469827,0.47844827,0.5377155,0.65086204,1.650862,2.3491378,3.3491378,4.349138,5.349138
127C-LOTOFA.tif,0.20338982,0.0445979,0.008474576,117.81356,966.61017,9.491526,26.567797,0.35725677,0.44295615,0.41826963,1.4530334,4.251087,7.114229,10.420051,5.920235,6.019174,5.721138,5.9671226,59.440117,287.0,0.46107784,6.0,0.98203593,6.0,7.293413,109.0,8.431138,109.0,8.9760475,109.0,6.0598803,90.0,1.5928143,10.0,0.6287425,7.0,0.0,0.0,1.754491,26.0,3.0419161,26.0,4.8622756,26.0,5.6706586,25.0,6.8982034,25.0,7.952096,37.0,11.137725,48.0,11.167665,48.0,11.239521,48.0,6.9580836,38.0,5.7245507,38.0,8.371258,38.0,7.39521,29.0,6.1916165,29.0,2.3592815,29.0,0.19161677,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3580246,39.0,8279733.0,0.70089287,0.5955357,0.0,0.31339285,0.25625,0.19107144,0.19285715,0.0,0.0,0.0,1.0,1.0,1.0,0.3875,0.85714287,0.79553574,0.35357141,1.0,0.6026786,0.71428573,0.013392857,0.007142857,1.0,0.04017857,0.5392857,0.6660714,0.19464286,1.0,1.0,1.0,0.013392857,0.020535715,1.0205357,1.0607142,1.5999999,2.2660713,2.460714,3.460714,4.4607143,5.4607143
14A-SAMBA.tif,0.16949153,0.043160453,0.016949153,114.5339,1099.1864,16.40678,23.423729,0.70043415,0.6463832,0.564267,1.9295318,5.839211,9.744758,13.862441,8.084346,8.025442,7.9349594,7.810738,25.673046,313.0,0.4888889,7.0,0.84444445,7.0,1.6111112,10.0,2.6222222,20.0,3.011111,20.0,3.15,20.0,3.2055554,20.0,3.3555555,21.0,3.9666667,21.0,4.7611113,21.0,4.8555555,33.0,4.516667,33.0,4.1222224,33.0,4.2444444,33.0,4.133333,18.0,3.8611112,18.0,3.4166667,18.0,2.8611112,17.0,3.8944445,42.0,5.3555555,46.0,7.461111,46.0,8.705556,46.0,8.372222,46.0,8.377778,46.0,7.65,21.0,7.233333,20.0,8.0222225,42.0,6.6833334,42.0,6.3722224,42.0,5.6055555,42.0,12.7974415,88.0,8279733.0,0.75619835,0.73966944,0.6363636,0.6735537,0.53667355,0.53099173,0.509814,0.54080576,0.4876033,0.45971075,0.46642563,0.72004133,0.9643595,0.6730372,0.57179755,0.79545456,0.7086777,0.69008267,0.7654959,0.7778926,0.021694215,0.025826447,0.053719006,0.035123967,0.258781,0.040805787,0.16322315,0.4235537,0.23243801,0.006714876,0.021694215,0.04752066,0.10123967,0.13636363,0.3951446,0.4359504,0.59917355,1.0227273,1.2551652,1.26188
14B-SAMBA.tif,0.22033899,0.051217,0.016949153,86.48305,913.161,8.330508,18.415255,0.45237,0.4737316,0.35302463,0.93919426,2.546639,4.392258,6.704324,3.6501071,3.701688,3.6893265,3.86044,12.087439,192.0,0.43537414,11.0,0.9659864,11.0,2.8843536,20.0,4.9387755,24.0,7.557823,27.0,9.367347,27.0,9.421769,27.0,8.727891,27.0,7.3061223,19.0,6.2789116,19.0,5.2108846,18.0,5.360544,27.0,6.0612245,27.0,6.6190476,27.0,7.197279,27.0,8.095238,25.0,7.3469386,36.0,6.4217687,36.0,5.4761906,36.0,3.680272,36.0,2.3741496,12.0,1.9183674,6.0,2.3537414,13.0,2.7755103,13.0,3.3265307,13.0,3.4693878,13.0,2.6122448,10.0,1.7414966,9.0,0.9183673,9.0,0.31292516,9.0,NaN,0.0,8279733.0,0.74059004,0.18107833,0.17802645,0.7131231,0.30010173,0.31332654,0.58494407,0.12614445,0.0,0.0,1.0,1.0,0.48423195,0.6113937,0.71820956,0.7416073,0.7446592,0.72329605,0.7253306,0.7446592,0.004069176,0.5442523,0.5452696,0.031536113,0.44150558,0.404883,0.026449643,0.35808748,1.0,1.0,0.004069176,0.5483214,1.093591,1.1251271,1.5666326,1.9715157,1.9979653,2.3560529,3.3560529,4.356053
14C-SAMBA.tif,0.13559322,0.03407693,0.016949153,96.09322,735.6356,8.906779,18.144068,0.4908921,0.57370895,0.43696332,1.215794,3.7456713,5.857946,8.640884,4.960613,4.9701977,4.8543634,5.16226,44.296093,270.0,0.6788321,8.0,1.8759124,16.0,3.4160583,15.0,4.649635,29.0,5.540146,32.0,5.781022,51.0,4.7153287,32.0,4.9051094,51.0,3.5328467,21.0,2.4233577,19.0,3.2189782,21.0,6.021898,53.0,7.459854,40.0,10.430657,53.0,11.810219,33.0,10.744526,37.0,11.540146,29.0,10.627737,42.0,7.510949,29.0,5.0656934,42.0,2.59854,24.0,1.1897811,4.0,0.81751823,1.0,0.5693431,2.0,0.94160587,19.0,2.7664235,26.0,3.6350365,25.0,3.7445254,26.0,3.8540146,27.0,5.124088,33.0,1.6363636,3.0,8279733.0,0.5899144,0.35585156,0.3434824,0.80875355,0.16365366,0.35394862,0.20076118,0.0,0.0,0.28734538,0.5347288,1.0,1.0,0.20932445,0.8725024,0.8363463,0.8306375,0.8715509,0.8886775,0.60989535,0.01998097,0.5328259,0.5280685,0.02188392,0.67269266,0.51855373,0.008563273,1.0,1.0,0.24738345,0.01998097,0.55280685,1.0808754,1.1027594,1.775452,2.2940059,2.3025692,3.3025692,4.3025694,4.549953
3(35)A-KOTIBé.tif,0.19491525,0.03766974,0.016949153,167.5,1424.9407,11.406779,26.991526,0.42260596,0.47860977,0.39639473,1.1227288,3.4665554,6.063214,8.467054,4.777951,4.831572,4.9430428,4.9799576,39.318233,308.0,2.764706,9.0,6.8088236,30.0,13.75,110.0,16.911764,39.0,11.191176,35.0,8.514706,35.0,7.7058825,40.0,10.588235,48.0,8.720589,33.0,4.132353,14.0,3.264706,8.0,2.8970587,12.0,2.1029413,14.0,2.2058823,6.0,2.1911764,6.0,8.882353,58.0,9.235294,28.0,5.6911764,13.0,3.4705882,12.0,1.7205882,10.0,3.2205882,27.0,5.397059,27.0,7.397059,19.0,8.867647,18.0,9.382353,18.0,8.941176,28.0,3.264706,11.0,1.5,5.0,1.3970588,7.0,1.5735294,7.0,16.109215,112.0,8279733.0,0.7258544,0.24517088,0.18424962,0.50297177,0.03268945,0.08098068,0.08395245,0.06983655,0.74071324,0.6983655,0.70208025,0.78900445,0.9784547,0.096582465,0.82763743,0.858841,0.8179792,0.42199108,0.8023774,0.73254085,0.0066864784,0.5572065,0.23774146,0.31500742,0.82615155,0.7466568,0.012630015,0.90861815,0.048291232,0.0037147102,0.0066864784,0.56389296,0.80163443,1.1166419,1.9427934,2.6894503,2.7020802,3.6106985,3.6589897,3.6627045
3(35)B-KOTIBé.tif,0.12711865,0.030645829,0.008474576,49.881355,363.88135,5.4915257,14.305085,0.38388625,0.37353587,0.59582853,1.2134938,3.7149146,5.815548,8.412968,4.944012,4.999371,4.9924774,4.7950997,32.93361,79.0,0.68711656,13.0,0.9141104,13.0,1.1226994,13.0,1.2944785,13.0,1.4969325,13.0,1.4662577,7.0,1.1226994,5.0,1.0613497,5.0,1.1288344,11.0,1.1349694,11.0,1.1042944,11.0,1.1042944,11.0,1.1042944,11.0,1.1533742,11.0,1.0858896,6.0,1.1226994,8.0,1.1533742,8.0,1.196319,8.0,1.2699387,8.0,1.5582823,9.0,2.6257668,34.0,3.8343558,34.0,5.4294477,34.0,6.785276,34.0,8.447853,34.0,10.018405,27.0,10.766871,27.0,9.766871,27.0,8.276073,27.0,6.852761,27.0,NaN,0.0,8279733.0,0.4814815,0.16512346,0.041666668,0.032407407,0.050925925,0.13734567,0.2638889,0.2808642,0.28858024,0.37037036,0.37345678,0.95987654,0.662037,0.4027778,0.15895061,0.07561728,0.047839507,0.060185187,0.18364197,0.6728395,0.19135803,0.018518519,0.018518519,0.015432099,0.024691358,0.021604938,0.1388889,0.38117284,0.6712963,0.0030864198,0.19135803,0.20987655,0.22839507,0.24382718,0.26851854,0.29012346,0.42901236,0.8101852,1.4814816,1.484568
3(35)C-KOTIBé.tif,0.13559322,0.034874905,0.016949153,69.12712,564.97455,7.1694913,16.245762,0.44131455,0.36092952,0.4865143,1.1746291,3.2325888,5.7259064,8.06483,4.746201,4.5520124,4.7204165,4.6306267,47.40171,144.0,0.15037593,2.0,0.6052632,17.0,1.0977443,17.0,1.3308271,17.0,1.8082707,17.0,2.6015038,17.0,3.2030075,17.0,4.4022555,33.0,5.154135,28.0,6.4548874,38.0,6.5789475,36.0,7.6390977,38.0,7.7781954,36.0,7.714286,38.0,6.9323306,36.0,7.037594,38.0,5.5338345,36.0,4.8646617,29.0,4.451128,30.0,4.18797,21.0,3.7669172,17.0,3.857143,20.0,3.8646617,17.0,3.8383458,20.0,3.887218,17.0,3.642857,20.0,3.255639,17.0,2.586466,13.0,2.4548872,14.0,1.9661654,11.0,NaN,0.0,8279733.0,0.92789596,0.6749409,0.32033098,0.21867612,0.11111111,0.06619386,0.09456265,0.21631205,0.49172577,0.6607565,0.68085104,0.5200946,0.3002364,0.25768322,0.39716312,0.32269505,0.5638298,0.46690306,0.70567375,0.9349882,0.0070921984,0.03073286,0.1465721,0.34515366,0.21158393,0.33096927,0.16312057,0.08392435,0.028368793,0.020094562,0.0070921984,0.03782506,0.18439716,0.5295508,0.7411347,1.072104,1.2352245,1.3191488,1.3475176,1.3676121
32A- FROMAGER.tif,0.27118644,0.06189171,0.008474576,108.63559,1173.178,12.29661,19.90678,0.61770964,0.5267981,0.22822165,1.0945281,3.294073,5.7263045,8.395276,4.583725,4.367364,4.8519306,4.9256835,33.068783,352.0,1.9848025,38.0,4.650456,49.0,5.650456,49.0,5.8176293,49.0,5.93617,49.0,7.194529,53.0,9.7112465,66.0,10.990882,66.0,11.74468,66.0,10.115501,66.0,10.1337385,66.0,12.048633,72.0,12.972645,72.0,12.908814,72.0,10.462006,72.0,8.930091,72.0,7.8206687,72.0,6.586626,72.0,4.917933,72.0,2.3677812,30.0,1.0425532,13.0,0.54711246,11.0,0.3556231,11.0,0.20668693,11.0,0.027355623,6.0,0.027355623,6.0,0.027355623,6.0,0.027355623,6.0,0.027355623,6.0,0.0,0.0,9.453521,60.0,8279733.0,0.0,0.76223296,0.04686423,0.033769812,0.8097864,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.83597517,0.81323224,0.78980017,0.7732598,0.7525844,0.7525844,0.011026878,0.7429359,0.77946246,0.026188836,1.0,1.0,1.0,1.0,1.0,0.7525844,0.76361126,1.5065472,2.2860098,2.3121986,3.3121986,4.3121986,5.3121986,6.3121986,7.3121986
32B-FROMAGER.tif,0.19491525,0.049369123,0.050847456,77.72881,883.7542,6.8728814,16.83051,0.4083585,0.56711644,0.4978284,0.70885956,2.164581,3.4857934,4.9390984,2.8959274,2.8586442,2.907866,3.0194182,39.991848,140.0,0.28148147,4.0,0.9111111,6.0,1.5925926,6.0,2.651852,8.0,4.6148148,19.0,6.014815,19.0,6.9185185,19.0,7.1037035,19.0,6.2814813,17.0,5.8444443,17.0,6.274074,17.0,7.1037035,29.0,7.57037,29.0,7.296296,29.0,6.4888887,29.0,4.962963,16.0,4.57037,16.0,4.266667,19.0,4.266667,19.0,4.362963,19.0,3.288889,19.0,2.1407406,14.0,1.0814815,14.0,0.47407407,12.0,0.76296294,12.0,3.9407408,53.0,5.0296297,53.0,4.7851853,53.0,5.451852,53.0,4.688889,50.0,NaN,0.0,8279733.0,0.57953143,0.13193588,0.104808874,0.009864365,0.15782984,0.29963008,0.5018496,0.61898893,0.25524044,0.19975339,0.27620223,0.2811344,0.6424168,0.51418,0.6535142,0.78545004,0.8964242,0.9321825,0.88902587,0.59679407,0.01726264,0.75709003,0.8273736,0.8865598,0.6276202,0.3538841,0.012330457,0.023427866,0.025893958,0.07644883,0.01726264,0.77435267,1.6017263,2.488286,3.1159062,3.4697905,3.482121,3.505549,3.5314429,3.6078918
